2026-03-03 13:04:40 | Object: PingPong | Confidence: 0.53
2026-03-03 13:04:40 | Object: PingPong | Confidence: 0.80
2026-03-03 13:04:40 | Object: PingPong | Confidence: 0.51
2026-03-03 13:04:40 | Object: PingPong | Confidence: 0.80
2026-03-03 13:04:40 | Object: PingPong | Confidence: 0.55
2026-03-03 13:04:41 | Object: PingPong | Confidence: 0.79
2026-03-03 13:04:41 | Object: PingPong | Confidence: 0.51
2026-03-03 13:04:41 | Object: PingPong | Confidence: 0.80
2026-03-03 13:04:41 | Object: PingPong | Confidence: 0.54
2026-03-03 13:04:41 | Object: PingPong | Confidence: 0.80
2026-03-03 13:04:41 | Object: PingPong | Confidence: 0.52
2026-03-03 13:04:42 | Object: PingPong | Confidence: 0.80
2026-03-03 13:04:42 | Object: PingPong | Confidence: 0.55
2026-03-03 13:04:42 | Object: PingPong | Confidence: 0.81
2026-03-03 13:04:42 | Object: PingPong | Confidence: 0.49
2026-03-03 13:04:42 | Object: PingPong | Confidence: 0.78
2026-03-03 13:04:42 | Object: PingPong | Confidence: 0.53
2026-03-03 13:04:42 | Object: PingPong | Confidence: 0.81
2026-03-03 13:04:42 | Object: PingPong | Confidence: 0.52
2026-03-03 13:04:43 | Object: PingPong | Confidence: 0.81
2026-03-03 13:04:43 | Object: PingPong | Confidence: 0.50
2026-03-03 13:04:43 | Object: PingPong | Confidence: 0.79
2026-03-03 13:04:43 | Object: PingPong | Confidence: 0.52
2026-03-03 13:04:43 | Object: PingPong | Confidence: 0.79
2026-03-03 13:04:43 | Object: PingPong | Confidence: 0.49
2026-03-03 13:04:44 | Object: PingPong | Confidence: 0.80
2026-03-03 13:04:44 | Object: PingPong | Confidence: 0.52
2026-03-03 13:04:44 | Object: PingPong | Confidence: 0.80
2026-03-03 13:04:44 | Object: PingPong | Confidence: 0.51
2026-03-03 13:04:44 | Object: PingPong | Confidence: 0.79
2026-03-03 13:04:44 | Object: PingPong | Confidence: 0.50
2026-03-03 13:04:45 | Object: PingPong | Confidence: 0.78
2026-03-03 13:04:45 | Object: PingPong | Confidence: 0.50
2026-03-03 13:04:45 | Object: PingPong | Confidence: 0.79
2026-03-03 13:04:45 | Object: PingPong | Confidence: 0.54
2026-03-03 13:04:45 | Object: PingPong | Confidence: 0.80
2026-03-03 13:04:45 | Object: PingPong | Confidence: 0.53
2026-03-03 13:04:45 | Object: PingPong | Confidence: 0.79
2026-03-03 13:04:45 | Object: PingPong | Confidence: 0.53
2026-03-03 13:04:46 | Object: PingPong | Confidence: 0.77
2026-03-03 13:04:46 | Object: PingPong | Confidence: 0.49
2026-03-03 13:04:46 | Object: PingPong | Confidence: 0.79
2026-03-03 13:04:46 | Object: PingPong | Confidence: 0.52
2026-03-03 13:04:46 | Object: PingPong | Confidence: 0.78
2026-03-03 13:04:46 | Object: PingPong | Confidence: 0.49
2026-03-03 13:04:47 | Object: PingPong | Confidence: 0.81
2026-03-03 13:04:47 | Object: PingPong | Confidence: 0.52
2026-03-03 13:04:47 | Object: PingPong | Confidence: 0.81
2026-03-03 13:04:47 | Object: PingPong | Confidence: 0.51
2026-03-03 13:04:47 | Object: PingPong | Confidence: 0.78
2026-03-03 13:04:47 | Object: PingPong | Confidence: 0.51
2026-03-03 13:04:48 | Object: PingPong | Confidence: 0.81
2026-03-03 13:04:48 | Object: PingPong | Confidence: 0.51
2026-03-03 13:04:48 | Object: PingPong | Confidence: 0.80
2026-03-03 13:04:48 | Object: PingPong | Confidence: 0.46
2026-03-03 13:04:48 | Object: PingPong | Confidence: 0.80
2026-03-03 13:04:48 | Object: PingPong | Confidence: 0.50
2026-03-03 13:04:48 | Object: PingPong | Confidence: 0.80
2026-03-03 13:04:48 | Object: PingPong | Confidence: 0.49
2026-03-03 13:04:49 | Object: PingPong | Confidence: 0.79
2026-03-03 13:04:49 | Object: PingPong | Confidence: 0.52
2026-03-03 13:04:49 | Object: PingPong | Confidence: 0.78
2026-03-03 13:04:49 | Object: PingPong | Confidence: 0.49
2026-03-03 13:04:49 | Object: PingPong | Confidence: 0.80
2026-03-03 13:04:49 | Object: PingPong | Confidence: 0.49
2026-03-03 13:04:50 | Object: PingPong | Confidence: 0.78
2026-03-03 13:04:50 | Object: PingPong | Confidence: 0.53
2026-03-03 13:04:50 | Object: PingPong | Confidence: 0.78
2026-03-03 13:04:50 | Object: PingPong | Confidence: 0.52
2026-03-03 13:04:50 | Object: PingPong | Confidence: 0.77
2026-03-03 13:04:50 | Object: PingPong | Confidence: 0.51
2026-03-03 13:04:51 | Object: PingPong | Confidence: 0.79
2026-03-03 13:04:51 | Object: PingPong | Confidence: 0.52
2026-03-03 13:04:51 | Object: PingPong | Confidence: 0.80
2026-03-03 13:04:51 | Object: PingPong | Confidence: 0.51
2026-03-03 13:04:51 | Object: PingPong | Confidence: 0.81
2026-03-03 13:04:51 | Object: PingPong | Confidence: 0.52
2026-03-03 13:04:51 | Object: PingPong | Confidence: 0.78
2026-03-03 13:04:52 | Object: PingPong | Confidence: 0.51
2026-03-03 13:04:52 | Object: PingPong | Confidence: 0.81
