2026-04-22 13:56:37 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:37 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:38 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:38 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:39 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:40 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:40 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:41 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:42 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:42 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:43 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:43 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:44 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:45 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:45 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:46 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:46 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:47 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:48 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:48 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:48 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:49 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:49 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:50 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:50 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:51 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:51 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:52 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:53 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:53 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:53 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:54 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:54 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:55 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:55 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:56 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:56 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:56 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:57 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:57 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:58 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:59 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:59 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:56:59 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:00 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:00 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:01 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:01 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:01 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:02 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:02 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:03 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:03 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:04 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:04 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:05 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:05 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:06 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:06 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:07 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:07 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:07 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
2026-04-22 13:57:08 | Action: Turn RIGHT (Track) | L:999 C:999 R:999
