2026-04-22 13:56:07 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:56:07 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:56:07 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:07 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:56:08 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:08 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:08 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:08 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:56:08 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:08 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:56:09 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:56:09 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:09 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:09 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:09 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:09 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:56:10 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:10 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:11 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:11 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:11 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:11 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:12 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:12 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:56:12 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:12 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:12 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:56:12 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:56:13 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:13 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:56:13 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:13 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:56:13 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:13 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:56:14 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:56:14 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:14 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:56:14 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:56:14 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:14 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:56:15 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:15 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:15 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:15 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:56:15 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:56:15 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:16 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:16 | Object: ping pong ball | Confidence: 0.75
2026-04-22 13:56:16 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:16 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:56:17 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:17 | Object: ping pong ball | Confidence: 0.75
2026-04-22 13:56:17 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:17 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:17 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:17 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:18 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:18 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:18 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:18 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:18 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:18 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:56:19 | Object: ping pong ball | Confidence: 0.81
2026-04-22 13:56:19 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:19 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:19 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:19 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:19 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:20 | Object: ping pong ball | Confidence: 0.81
2026-04-22 13:56:20 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:56:20 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:56:20 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:56:20 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:20 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:21 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:21 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:21 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:56:21 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:22 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:22 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:22 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:22 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:22 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:22 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:56:23 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:23 | Object: ping pong ball | Confidence: 0.75
2026-04-22 13:56:23 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:23 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:56:23 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:23 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:56:24 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:56:24 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:24 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:24 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:24 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:24 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:56:25 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:56:25 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:25 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:25 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:25 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:25 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:26 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:56:26 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:26 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:26 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:26 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:56:26 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:27 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:27 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:27 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:56:27 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:56:28 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:28 | Object: ping pong ball | Confidence: 0.73
2026-04-22 13:56:28 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:56:28 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:56:28 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:56:28 | Object: ping pong ball | Confidence: 0.75
2026-04-22 13:56:29 | Object: ping pong ball | Confidence: 0.82
2026-04-22 13:56:29 | Object: ping pong ball | Confidence: 0.74
2026-04-22 13:56:29 | Object: ping pong ball | Confidence: 0.83
2026-04-22 13:56:29 | Object: ping pong ball | Confidence: 0.74
